H,連系線確保量,対象年月,ブロック数,取引期間
P,確報値,202503,48,日取引
T,順方向元エリア,逆方向元エリア,日取引：連系線確保量上限値（順方向）[MW],日取引：連系線確保量上限値（逆方向）[MW],三次調整力2：連系線確保量（順方向）[MW],三次調整力2：連系線確保量（逆方向）[MW]
20250301B01,北海道,東北,0,0,0,0
20250301B01,東北,東京,0,0,0,0
20250301B01,東京,中部,0,0,0,0
20250301B01,中部,関西,0,0,0,0
20250301B01,中部,北陸,0,0,0,0
20250301B01,北陸,関西,0,0,0,0
20250301B01,関西,中国,0,0,0,0
20250301B01,関西_関西-中国間(東),中国_関西-中国間(東),0,0,0,0
20250301B01,関西_関西-中国間(西),中国_関西-中国間(西),0,0,0,0
20250301B01,関西,四国,0,0,0,0
20250301B01,中国,四国,0,0,0,0
20250301B01,中国,九州,0,0,0,0
20250301B02,北海道,東北,0,0,0,0
20250301B02,東北,東京,0,0,0,0
20250301B02,東京,中部,0,0,0,0
20250301B02,中部,関西,0,0,0,0
20250301B02,中部,北陸,0,0,0,0
20250301B02,北陸,関西,0,0,0,0
20250301B02,関西,中国,0,0,0,0
20250301B02,関西_関西-中国間(東),中国_関西-中国間(東),0,0,0,0
20250301B02,関西_関西-中国間(西),中国_関西-中国間(西),0,0,0,0
20250301B02,関西,四国,0,0,0,0
20250301B02,中国,四国,0,0,0,0
20250301B02,中国,九州,0,0,0,0
20250301B03,北海道,東北,0,0,0,0
20250301B03,東北,東京,0,0,0,0
20250301B03,東京,中部,0,0,0,0
20250301B03,中部,関西,0,0,0,0
20250301B03,中部,北陸,0,0,0,0
20250301B03,北陸,関西,0,0,0,0
20250301B03,関西,中国,0,0,0,0
20250301B03,関西_関西-中国間(東),中国_関西-中国間(東),0,0,0,0
20250301B03,関西_関西-中国間(西),中国_関西-中国間(西),0,0,0,0
20250301B03,関西,四国,0,0,0,0
20250301B03,中国,四国,0,0,0,0
20250301B03,中国,九州,0,0,0,0
20250301B04,北海道,東北,0,0,0,0
20250301B04,東北,東京,0,0,0,0
20250301B04,東京,中部,0,0,0,0
20250301B04,中部,関西,0,0,0,0
20250301B04,中部,北陸,0,0,0,0
20250301B04,北陸,関西,0,0,0,0
20250301B04,関西,中国,0,0,0,0
20250301B04,関西_関西-中国間(東),中国_関西-中国間(東),0,0,0,0
20250301B04,関西_関西-中国間(西),中国_関西-中国間(西),0,0,0,0
20250301B04,関西,四国,0,0,0,0
20250301B04,中国,四国,0,0,0,0
20250301B04,中国,九州,0,0,0,0
20250301B05,北海道,東北,0,0,0,0
20250301B05,東北,東京,0,0,0,0
20250301B05,東京,中部,0,0,0,0
20250301B05,中部,関西,0,0,0,0
20250301B05,中部,北陸,0,0,0,0
20250301B05,北陸,関西,0,0,0,0
20250301B05,関西,中国,0,0,0,0
20250301B05,関西_関西-中国間(東),中国_関西-中国間(東),0,0,0,0
20250301B05,関西_関西-中国間(西),中国_関西-中国間(西),0,0,0,0
20250301B05,関西,四国,0,0,0,0
20250301B05,中国,四国,0,0,0,0
20250301B05,中国,九州,0,0,0,0
20250301B06,北海道,東北,0,0,0,0
20250301B06,東北,東京,0,0,0,0
20250301B06,東京,中部,0,0,0,0
20250301B06,中部,関西,0,0,0,0
20250301B06,中部,北陸,0,0,0,0
20250301B06,北陸,関西,0,0,0,0
20250301B06,関西,中国,0,0,0,0
20250301B06,関西_関西-中国間(東),中国_関西-中国間(東),0,0,0,0
20250301B06,関西_関西-中国間(西),中国_関西-中国間(西),0,0,0,0
20250301B06,関西,四国,0,0,0,0
20250301B06,中国,四国,0,0,0,0
20250301B06,中国,九州,0,0,0,0
20250301B07,北海道,東北,0,0,0,0
20250301B07,東北,東京,0,0,0,0
